,From,To,p-value,Company
255,2021-07-23 00:00:00,2023-08-11 00:00:00,0.3281715512915774,KIM
256,2020-12-10 00:00:00,2021-09-02 00:00:00,0.17897004312172532,KKR
257,2021-08-10 00:00:00,2024-06-03 00:00:00,0.1518044546540442,KLAC
259,2020-07-17 00:00:00,2022-08-11 00:00:00,0.0711018823829057,KMI
261,2022-06-17 00:00:00,2023-04-25 00:00:00,0.08227038691628585,KO
263,2020-12-31 00:00:00,2023-05-18 00:00:00,0.1250233010498065,L
265,2024-05-28 00:00:00,2025-04-22 00:00:00,0.05518217214558919,LEN
268,2020-07-13 00:00:00,2021-05-07 00:00:00,0.06320949162060654,LII
269,2021-12-08 00:00:00,2022-11-28 00:00:00,0.0616483324528852,LIN
270,2023-03-10 00:00:00,2023-10-17 00:00:00,0.6871307032246221,LKQ
273,2021-01-07 00:00:00,2021-09-15 00:00:00,0.23285775611536425,LNT
274,2021-10-07 00:00:00,2022-04-19 00:00:00,0.08125373229688776,LOW
275,2020-10-16 00:00:00,2022-07-12 00:00:00,0.20395156203453882,LRCX
276,2022-03-28 00:00:00,2022-09-21 00:00:00,0.05579248356656297,LULU
277,2022-03-25 00:00:00,2022-11-15 00:00:00,0.24017387283364008,LUV
280,2021-07-29 00:00:00,2023-08-16 00:00:00,0.0766621585751515,LYB
282,2021-11-12 00:00:00,2022-05-02 00:00:00,0.05550398567847406,MA
284,2023-02-17 00:00:00,2023-12-19 00:00:00,0.8909998755291708,MAR
286,2021-06-24 00:00:00,2022-01-19 00:00:00,0.24847424386378594,MCD
287,2021-01-29 00:00:00,2023-11-07 00:00:00,0.16523473195357566,MCHP
292,2021-12-21 00:00:00,2022-09-15 00:00:00,0.29793521454725447,MET
293,2023-06-20 00:00:00,2023-12-27 00:00:00,0.6257176628696456,META
298,2021-02-01 00:00:00,2023-02-10 00:00:00,0.08340144221819089,MLM
303,2020-07-31 00:00:00,2020-12-11 00:00:00,0.14839656346341193,MOH
304,2023-10-18 00:00:00,2024-05-09 00:00:00,0.16706043061303671,MOS
306,2021-11-18 00:00:00,2022-10-17 00:00:00,0.6691309242051151,MPWR
307,2023-03-31 00:00:00,2023-09-28 00:00:00,0.4251416073413674,MRK
308,2022-06-15 00:00:00,2022-11-17 00:00:00,0.09863499573460031,MRNA
309,2020-12-10 00:00:00,2023-02-14 00:00:00,0.05508759140438944,MS
313,2023-03-13 00:00:00,2023-11-01 00:00:00,0.08814675493508062,MTB
314,2020-10-26 00:00:00,2021-07-29 00:00:00,0.43745768764894577,MTCH
315,2021-10-13 00:00:00,2022-04-18 00:00:00,0.2534295000416492,MTD
316,2021-02-24 00:00:00,2022-12-14 00:00:00,0.07027559687924737,MU
317,2022-10-06 00:00:00,2023-06-13 00:00:00,0.21161768044602064,NCLH
319,2023-08-11 00:00:00,2023-12-15 00:00:00,0.06378093878931304,NDSN
329,2021-12-14 00:00:00,2023-01-12 00:00:00,0.2934924094040891,NTAP
331,2021-07-14 00:00:00,2022-04-11 00:00:00,0.11460144753624321,NUE
332,2020-12-09 00:00:00,2023-01-31 00:00:00,0.06419063680168309,NVDA
333,2021-11-30 00:00:00,2022-10-20 00:00:00,0.4123243491151165,NVR
336,2020-12-08 00:00:00,2023-02-07 00:00:00,0.5646687956449206,NXPI
338,2023-08-01 00:00:00,2024-01-23 00:00:00,0.1946171814729539,ODFL
339,2020-12-21 00:00:00,2022-04-26 00:00:00,0.1202288378083763,OKE
341,2021-12-03 00:00:00,2023-08-25 00:00:00,0.5481096483840466,ON
344,2023-07-14 00:00:00,2024-04-16 00:00:00,0.42418617680472004,OTIS
345,2021-02-04 00:00:00,2021-08-31 00:00:00,0.6905120111478782,OXY
347,2022-06-13 00:00:00,2023-05-01 00:00:00,0.07625631901797877,PAYC
348,2023-04-18 00:00:00,2023-11-28 00:00:00,0.2837863258439886,PAYX
349,2022-01-07 00:00:00,2022-08-03 00:00:00,0.05981642656042161,PCAR
351,2023-10-25 00:00:00,2024-10-01 00:00:00,0.33219485870328763,PEG
354,2023-04-24 00:00:00,2024-04-26 00:00:00,0.10316881718328215,PFG
356,2022-03-24 00:00:00,2022-12-06 00:00:00,0.12902452286846913,PGR
357,2021-03-11 00:00:00,2021-10-22 00:00:00,0.3806312142532141,PH
361,2023-09-21 00:00:00,2024-03-18 00:00:00,0.42889150804258,PM
362,2022-02-04 00:00:00,2023-01-10 00:00:00,0.14543546492245646,PNC
363,2020-08-18 00:00:00,2022-07-12 00:00:00,0.12948639616546498,PNR
364,2020-10-15 00:00:00,2021-04-06 00:00:00,0.47311005330379974,PNW
368,2021-07-19 00:00:00,2022-01-19 00:00:00,0.44886918153773625,PPL
369,2020-12-08 00:00:00,2023-01-31 00:00:00,0.10057542183673855,PRU
370,2021-09-16 00:00:00,2022-04-18 00:00:00,0.18857377715101312,PSA
371,2024-12-05 00:00:00,2025-06-23 00:00:00,0.8783144737308632,PSKY
376,2022-06-14 00:00:00,2023-04-10 00:00:00,0.12742394601914184,QCOM
377,2023-01-13 00:00:00,2023-05-17 00:00:00,0.5126093424653178,RCL
378,2021-11-23 00:00:00,2022-10-31 00:00:00,0.051981358764862214,REG
382,2024-04-30 00:00:00,2025-01-07 00:00:00,0.11426727243530671,RL
384,2024-02-07 00:00:00,2024-07-09 00:00:00,0.8328724415965583,ROK
386,2021-05-18 00:00:00,2022-03-14 00:00:00,0.18110349167736825,ROP
387,2021-02-22 00:00:00,2022-04-06 00:00:00,0.2683791991407281,ROST
389,2022-07-07 00:00:00,2023-02-07 00:00:00,0.17891166441019446,RTX
391,2021-07-19 00:00:00,2022-04-22 00:00:00,0.5344247659087655,SBAC
393,2021-05-12 00:00:00,2022-01-19 00:00:00,0.850026678811753,SCHW
394,2020-12-11 00:00:00,2022-02-04 00:00:00,0.21676863744191746,SHW
396,2024-04-11 00:00:00,2024-10-17 00:00:00,0.2593198570504606,SLB
397,2021-02-25 00:00:00,2021-07-15 00:00:00,0.3080598568615819,SMCI
398,2022-01-11 00:00:00,2023-01-17 00:00:00,0.062391755420705255,SNA
400,2020-07-01 00:00:00,2021-05-03 00:00:00,0.21813170413033317,SO
401,2022-03-02 00:00:00,2023-05-15 00:00:00,0.09173841032170517,SPG
403,2020-08-24 00:00:00,2021-11-24 00:00:00,0.06965423962808347,SRE
405,2021-02-26 00:00:00,2023-01-09 00:00:00,0.0677116294464787,STLD
406,2023-08-03 00:00:00,2024-05-23 00:00:00,0.37987031201908505,STT
410,2022-08-08 00:00:00,2023-04-25 00:00:00,0.20564447420361945,SWK
411,2022-06-27 00:00:00,2023-01-12 00:00:00,0.22529939200090165,SWKS
412,2021-03-03 00:00:00,2021-08-26 00:00:00,0.580805682582576,SYF
418,2021-08-16 00:00:00,2022-03-23 00:00:00,0.17333117656950117,TDY
419,2021-10-26 00:00:00,2022-11-14 00:00:00,0.48749484613645333,TECH
420,2020-12-22 00:00:00,2022-05-16 00:00:00,0.24312278091233216,TEL
421,2021-04-21 00:00:00,2021-09-15 00:00:00,0.8671653488780127,TER
422,2021-07-27 00:00:00,2022-10-17 00:00:00,0.16304313703848455,TFC
424,2023-03-30 00:00:00,2024-06-18 00:00:00,0.05320002794439973,TJX
428,2021-06-18 00:00:00,2022-11-15 00:00:00,0.05542786821936649,TPL
431,2020-12-01 00:00:00,2022-04-28 00:00:00,0.34311485949310316,TRMB
433,2021-08-10 00:00:00,2022-04-05 00:00:00,0.3375523558681263,TRV
434,2020-12-03 00:00:00,2022-01-06 00:00:00,0.09033145374329957,TSCO
435,2022-10-12 00:00:00,2023-03-24 00:00:00,0.6224773014170625,TSLA
437,2021-09-23 00:00:00,2022-10-19 00:00:00,0.6331155926067291,TT
440,2022-03-22 00:00:00,2023-11-21 00:00:00,0.08298084097353961,TXN
442,2021-08-16 00:00:00,2023-02-22 00:00:00,0.06043826117029317,TYL
444,2021-05-05 00:00:00,2022-06-10 00:00:00,0.08677612544604113,UBER
445,2024-04-02 00:00:00,2024-10-17 00:00:00,0.9943347841611505,UDR
447,2022-06-02 00:00:00,2023-01-12 00:00:00,0.08433510749572637,ULTA
448,2021-05-17 00:00:00,2022-05-27 00:00:00,0.058860137887996565,UNH
451,2021-06-16 00:00:00,2023-03-01 00:00:00,0.08623972331381882,URI
454,2021-11-19 00:00:00,2023-01-17 00:00:00,0.14040366754161893,VICI
455,2021-02-08 00:00:00,2022-04-11 00:00:00,0.11253382440606385,VLO
456,2021-11-22 00:00:00,2023-03-02 00:00:00,0.1807966042785697,VMC
457,2022-01-03 00:00:00,2022-07-22 00:00:00,0.12533711387246949,VRSK
460,2023-12-19 00:00:00,2024-06-06 00:00:00,0.274573327494808,VST
461,2022-04-20 00:00:00,2022-12-01 00:00:00,0.07607311074623381,VTR
462,2023-06-20 00:00:00,2023-12-08 00:00:00,0.19835243910099987,VTRS
463,2020-08-17 00:00:00,2021-01-19 00:00:00,0.07834139032396133,VZ
468,2022-12-14 00:00:00,2023-05-09 00:00:00,0.23259834477730543,WDAY
470,2022-05-02 00:00:00,2023-07-25 00:00:00,0.06373945645845777,WEC
471,2021-03-05 00:00:00,2021-07-19 00:00:00,0.23790152117270996,WELL
472,2021-09-23 00:00:00,2022-06-13 00:00:00,0.23669421063985474,WFC
473,2022-03-16 00:00:00,2023-02-02 00:00:00,0.11413302977196484,WM
474,2022-10-26 00:00:00,2023-09-27 00:00:00,0.20707239252867476,WMB
475,2021-06-30 00:00:00,2022-01-25 00:00:00,0.07656739453794925,WMT
476,2021-10-15 00:00:00,2022-10-26 00:00:00,0.12776675205272675,WRB
477,2021-08-05 00:00:00,2022-04-18 00:00:00,0.13774072260352221,WSM
479,2021-12-23 00:00:00,2022-11-07 00:00:00,0.12401848201309605,WTW
480,2020-09-23 00:00:00,2022-06-24 00:00:00,0.08361730299978218,WY
481,2023-02-28 00:00:00,2023-09-12 00:00:00,0.07113443522437066,WYNN
482,2021-04-23 00:00:00,2022-03-08 00:00:00,0.5348957756645523,XEL
483,2023-08-28 00:00:00,2025-01-23 00:00:00,0.5058594048819871,XOM
484,2022-05-12 00:00:00,2022-10-28 00:00:00,0.7188325102403855,XYL
485,2020-07-22 00:00:00,2021-12-21 00:00:00,0.08353578151752808,XYZ
486,2021-12-29 00:00:00,2022-10-21 00:00:00,0.6702102148676677,YUM
